Designator,Mid X,Mid Y,Rotation,Layer
B_LED1,-6.732102,87.022899,135.0,top
B_LED2,-97.647899,87.022899,225.0,top
B_LED3,-97.647899,-22.992898,315.0,top
B_LED4,-6.74,-22.985,45.0,top
C1,-70.01,10.52,0.0,top
C16,-28.05,13.78,270.0,top
C17,-35.02,11.69,270.0,top
C2,-10.33,92.45,0.0,top
C22,-47.311129,2.04,135.0,top
C23,-46.441129,2.92,135.0,top
C25,-55.701129,9.08,315.0,top
C26,-53.763203,10.975595,315.0,top
C27,-47.088669,9.14,225.0,top
C28,-57.399121,3.937992,45.0,top
C29,-54.56,1.65,45.0,top
C3,-104.08,85.31,90.0,top
C30,-53.001129,11.77,315.0,top
C31,-50.63,11.85,225.0,top
C32,-52.221129,12.55,315.0,top
C33,-45.714454,-3.918109,45.0,top
C34,-50.23,-3.75,135.0,top
C4,-95.54,-28.98,180.0,top
C44,-54.921129,9.86,315.0,top
C5,-1.33,-20.35,270.0,top
C6,-45.61,4.41,225.0,top
CL1,-7.54,-21.785,180.0,top
CL10,-7.43,37.35,180.0,top
CL11,-83.63,37.35,180.0,top
CL12,-7.43,56.4,180.0,top
CL13,-26.48,56.4,180.0,top
CL14,-45.53,56.4,180.0,top
CL15,-64.58,56.4,180.0,top
CL16,-83.63,56.4,180.0,top
CL17,-7.43,75.45,180.0,top
CL18,-26.48,75.45,180.0,top
CL19,-45.53,75.45,180.0,top
CL2,-26.48,-19.8,180.0,top
CL20,-64.58,75.45,180.0,top
CL21,-83.63,75.45,180.0,top
CL3,-45.53,-19.8,180.0,top
CL4,-64.58,-19.8,180.0,top
CL5,-83.63,-19.8,180.0,top
CL6,-7.99,-0.835,180.0,top
CL7,-83.63,-0.75,180.0,top
CL8,-7.43,18.3,180.0,top
CL9,-83.63,18.3,180.0,top
D1,-21.24,-23.335,0.0,top
D10,-22.41,37.08,0.0,top
D11,-97.63,35.35,90.0,top
D12,-21.43,54.4,90.0,top
D13,-40.48,54.4,90.0,top
D14,-59.53,54.4,90.0,top
D15,-78.58,54.4,90.0,top
D16,-97.63,54.4,90.0,top
D17,-21.43,73.45,90.0,top
D18,-40.48,73.45,90.0,top
D19,-59.53,73.45,90.0,top
D2,-40.48,-21.8,90.0,top
D20,-78.58,73.45,90.0,top
D21,-97.63,73.45,90.0,top
D3,-59.53,-21.8,90.0,top
D4,-78.58,-21.8,90.0,top
D5,-97.63,-21.8,90.0,top
D6,-22.42,-1.25,0.0,top
D7,-97.63,-2.75,90.0,top
D8,-22.74,17.915,0.0,top
D9,-97.63,16.3,90.0,top
F2,-38.33,-28.45,0.0,top
FID1,-103.59,68.46,0.0,top
FID2,-85.57,-29.3,0.0,top
FID3,-1.45,51.57,0.0,top
H5,-31.07,-1.47,0.0,top
H6,-31.07,47.1,0.0,top
H7,-77.34,47.1,0.0,top
H8,-77.34,-1.47,0.0,top
J1,-51.44,-36.985,0.0,top
J2,-39.361129,12.74,180.0,top
J4,-77.53,6.395,90.0,top
LED1,-14.08,-15.6,0.0,top
LED10,-14.08,41.55,0.0,top
LED11,-90.28,41.55,0.0,top
LED12,-14.08,60.6,0.0,top
LED13,-33.13,60.6,0.0,top
LED14,-52.18,60.6,0.0,top
LED15,-71.23,60.6,0.0,top
LED16,-90.28,60.6,0.0,top
LED17,-14.08,79.65,0.0,top
LED18,-33.13,79.65,0.0,top
LED19,-52.18,79.65,0.0,top
LED2,-33.13,-15.6,0.0,top
LED20,-71.23,79.65,0.0,top
LED21,-90.28,79.65,0.0,top
LED3,-52.18,-15.6,0.0,top
LED4,-71.23,-15.6,0.0,top
LED5,-90.28,-15.6,0.0,top
LED6,-14.08,3.45,0.0,top
LED7,-90.28,3.45,0.0,top
LED8,-14.08,22.5,0.0,top
LED9,-90.28,22.5,0.0,top
R1,-43.51,3.75,90.0,top
R10,-44.84,0.09,135.0,top
R11,-44.771129,21.6,180.0,top
R12,-44.781129,19.09,180.0,top
R13,-7.39,-11.3,0.0,top
R14,-7.4,-9.14,0.0,top
R15,-28.83,-28.45,0.0,top
R2,-55.33,-27.05,270.0,top
R3,-48.18,-27.05,270.0,top
R4,-55.561129,13.24,135.0,top
R5,-95.18,35.55,90.0,top
R6,-62.52,1.36,180.0,top
R7,-62.52,3.47,180.0,top
R8,-46.39,15.65,0.0,top
R9,-57.121129,11.64,135.0,top
S1,-14.04,-16.335,180.0,bottom
S10,-13.43,45.35,180.0,top
S11,-89.63,45.35,180.0,top
S12,-13.43,64.4,180.0,top
S13,-32.48,64.4,180.0,top
S14,-51.53,64.4,180.0,top
S15,-70.58,64.4,180.0,top
S16,-89.63,64.4,180.0,top
S17,-13.43,83.45,180.0,top
S18,-32.48,83.45,180.0,top
S19,-51.53,83.45,180.0,top
S2,-32.48,-11.8,180.0,top
S20,-70.58,83.45,180.0,top
S21,-89.63,83.45,180.0,top
S3,-51.53,-11.8,180.0,top
S4,-70.58,-11.8,180.0,top
S5,-89.63,-11.8,180.0,top
S6,-13.43,7.25,180.0,top
S7,-89.63,7.25,180.0,top
S8,-13.43,26.3,180.0,top
S9,-89.63,26.3,180.0,top
SW1,-68.36,-0.55,270.0,top
SW2,-39.39,-2.32,90.0,top
TP10,-23.83,-28.45,0.0,top
TP2,-33.43,17.38,180.0,top
TP3,-59.84,-28.13,0.0,top
TP8,-42.83,-28.45,0.0,top
TP9,-33.83,-28.45,0.0,top
U1,-51.488629,5.87,135.0,top
U2,-52.18,22.525,0.0,top
U3,-31.275,12.34,0.0,top
U4,-51.53,-26.85,90.0,top
U6,-62.76,7.8025,90.0,top
U7,-42.17,26.29,0.0,top
Y1,-47.854454,-1.418109,45.0,top
